0,1,480,3
0,4,89,1
90,4,42,1
144,4,61,1
207,4,2,1
220,4,2,1
227,4,5,1
260,4,220,1
0,5,67,1
403,5,2,1
406,5,74,1
0,6,50,1
415,6,2,1
418,6,62,1
0,7,44,1
427,7,53,1
0,8,40,1
436,8,44,1
0,9,36,1
438,9,42,1
0,10,33,1
442,10,38,1
0,11,30,1
447,11,33,1
0,12,28,1
449,12,31,1
0,13,26,1
452,13,28,1
0,14,24,1
454,14,26,1
0,15,23,1
455,15,25,1
0,16,21,1
456,16,24,1
0,17,20,1
459,17,21,1
0,18,19,1
460,18,20,1
0,19,18,1
461,19,19,1
0,20,16,2
462,20,18,1
463,21,17,1
0,22,15,1
464,22,16,1
0,23,14,2
465,23,15,3
0,25,13,2
467,26,13,3
0,27,12,1
0,28,11,1
0,29,10,2
468,29,12,1
469,30,11,4
0,31,9,2
0,33,8,2
470,34,10,3
0,35,7,3
471,37,9,3
0,38,6,4
33,40,357,1
393,40,4,1
398,40,8,1
407,40,2,1
410,40,36,1
472,40,8,4
29,41,3,1
436,41,1,12
448,41,2,1
0,42,5,5
27,42,2,187
30,42,406,10
437,42,10,11
25,43,2,185
29,43,1,25
447,43,3,83
24,44,1,183
450,44,1,184
473,44,7,6
23,45,1,181
451,45,1,182
452,46,1,181
455,46,1,2
0,47,4,6
22,47,1,177
453,47,1,179
454,48,1,177
456,48,1,174
21,49,1,172
474,50,6,7
455,51,1,173
30,52,372,1
403,52,10,1
414,52,7,1
422,52,6,1
430,52,6,1
457,52,1,165
0,53,3,6
30,53,3,1
441,53,6,1
30,54,2,3
442,54,5,1
444,55,3,1
445,56,2,1
30,57,1,67
446,57,1,3
475,57,5,13
0,59,2,2
0,61,1,9
20,61,1,2
1,62,1,4
29,69,1,3
476,70,4,6
0,72,1,3
29,73,1,12
477,76,3,19
62,77,27,1
390,77,3,1
476,77,1,2
60,78,1,27
388,78,2,1
59,79,1,26
62,79,26,10
91,79,1,8
387,79,2,25
395,79,1,13
61,80,1,25
88,80,2,9
389,80,5,25
58,81,1,23
90,82,1,6
386,82,1,19
394,86,1,3
29,89,1,3
62,89,12,1
75,89,2,1
62,90,7,2
62,92,6,12
394,92,1,13
397,93,21,1
29,94,1,14
395,94,1,11
419,94,1,2
396,95,22,10
478,95,2,22
418,96,1,9
420,96,1,7
419,97,1,7
477,97,1,2
62,104,5,1
29,109,1,13
212,110,58,1
210,111,2,1
209,112,2,7
212,112,58,10
272,112,1,13
211,113,1,7
270,113,1,46
341,113,4,1
208,114,1,43
346,114,1,2
271,115,1,43
339,115,1,25
340,116,5,24
347,116,1,21
338,117,1,12
345,117,1,23
479,117,1,153
478,118,1,12
209,119,1,40
134,122,3,1
138,122,25,1
212,122,10,1
260,122,10,1
163,123,1,2
212,123,6,1
262,123,8,2
31,124,1,2
132,124,1,26
134,124,28,10
213,124,5,21
29,125,1,25
32,125,28,1
131,125,1,24
133,125,1,25
162,125,1,8
164,125,1,7
263,125,7,24
418,125,29,1
30,126,1,90
163,126,1,7
212,126,1,2
272,126,1,2
448,126,2,102
31,127,28,16
62,127,1,14
416,127,1,15
418,127,30,16
59,128,2,15
346,128,1,2
415,128,1,13
417,128,1,15
272,129,1,28
314,129,24,1
313,130,1,10
338,130,1,10
312,131,1,8
314,131,24,9
478,131,1,139
346,133,1,6
134,134,12,1
134,135,8,1
134,136,7,12
61,137,1,5
212,138,1,2
212,141,1,19
31,143,14,1
438,143,10,1
31,144,4,1
442,144,6,1
213,145,3,15
217,145,1,3
444,145,4,1
445,146,3,1
446,147,2,2
134,148,6,1
218,148,45,1
134,149,5,1
216,149,1,11
264,149,6,10
447,149,1,80
217,150,42,10
260,150,1,10
262,150,2,10
259,151,1,9
261,151,1,9
210,154,1,5
211,155,1,5
264,159,5,1
61,166,28,1
416,166,4,1
59,167,2,10
414,167,2,1
58,168,1,8
61,168,27,10
91,168,1,24
414,168,1,25
417,168,2,25
29,169,1,5
88,169,2,24
413,169,1,24
415,169,2,24
419,169,1,24
420,170,2,1
90,171,1,22
420,171,1,22
29,177,1,2
78,178,10,1
421,178,1,2
477,178,1,8
81,179,7,1
82,180,6,7
421,181,1,11
389,182,24,1
388,183,1,10
387,184,1,8
389,184,24,9
29,185,1,6
92,186,1,3
386,186,1,5
83,187,5,5
477,187,1,83
84,192,4,1
476,193,1,77
29,196,1,3
29,201,1,2
475,207,1,63
29,208,1,4
0,211,1,59
31,215,1,2
1,217,1,53
29,217,1,12
32,217,415,1
474,217,1,53
30,218,1,12
31,219,56,10
88,219,188,10
277,219,5,10
283,219,13,10
298,219,1,10
300,219,2,10
304,219,143,10
87,220,1,9
276,220,1,9
282,220,1,9
296,220,2,9
299,220,1,9
302,220,2,9
2,223,1,47
473,223,1,47
3,226,1,44
472,228,1,42
31,229,17,1
366,229,9,1
417,229,9,1
429,229,11,1
4,230,1,40
471,232,1,38
5,234,1,36
470,235,1,35
6,237,1,33
469,238,1,32
7,239,1,31
468,240,1,30
8,242,1,28
467,242,1,28
9,243,1,27
10,244,1,26
466,244,1,26
11,246,1,24
465,246,1,24
12,247,1,23
464,248,1,22
463,249,1,21
13,250,2,20
462,250,1,20
15,251,1,19
461,251,1,19
16,252,1,18
459,252,2,18
17,253,1,17
18,254,2,16
458,254,1,16
20,255,1,15
456,255,2,15
21,256,3,14
454,256,2,14
24,257,1,13
452,257,2,13
25,258,3,12
449,258,3,12
28,259,2,11
446,259,3,11
30,260,2,10
444,260,2,10
32,261,2,9
441,261,3,9
34,262,3,8
38,262,2,8
439,262,2,8
37,263,1,7
40,263,5,7
430,263,1,7
432,263,7,7
45,264,8,6
55,264,3,6
422,264,2,6
425,264,5,6
431,264,1,6
53,265,2,5
58,265,11,5
70,265,5,5
408,265,1,5
412,265,10,5
424,265,1,5
69,266,1,4
75,266,16,4
92,266,1,4
157,266,52,4
211,266,1,4
216,266,2,4
220,266,6,4
234,266,2,4
276,266,110,4
387,266,21,4
409,266,3,4
91,267,1,3
93,267,64,3
209,267,2,3
212,267,4,3
218,267,2,3
226,267,8,3
236,267,25,3
262,267,14,3
386,267,1,3
261,268,1,2
