16,24,251,7
15,25,1,109
267,25,1,109
14,26,1,108
268,26,1,107
13,27,1,105
269,27,1,105
12,29,1,101
270,30,1,99
16,31,3,1
264,31,3,104
16,32,2,103
36,45,17,7
230,45,3,17
35,46,1,16
53,46,1,6
229,46,1,16
233,46,1,16
34,47,1,14
228,48,1,12
36,52,7,1
36,53,4,8
234,55,14,7
248,56,1,5
36,61,3,1
124,65,36,7
160,66,1,27
123,67,1,26
161,67,1,24
124,72,5,22
155,72,5,1
18,73,1,12
156,73,4,21
19,74,17,10
246,74,18,10
36,75,1,9
245,76,1,7
19,84,9,1
263,84,1,1
130,87,1,8
132,87,3,8
136,87,10,8
154,87,2,8
129,88,1,7
131,88,1,7
135,88,1,7
146,88,8,7
125,94,4,1
156,94,1,1
35,98,18,7
246,98,3,16
34,99,1,5
53,99,1,15
245,99,1,15
249,99,1,14
244,100,1,14
54,101,1,2
49,105,4,9
54,106,1,6
229,108,15,6
228,110,1,3
18,127,1,8
19,128,245,7
